,ind1,ind2,dist,div,x_x,y_x,z_x,ind_x,time_x,group_x,x_y,y_y,z_y,ind_y,time_y,group_y,temp
128,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
129,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
130,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
131,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
132,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
133,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
134,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
135,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
136,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
137,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
138,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
139,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
140,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
141,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
142,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
143,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
144,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
145,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
146,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
147,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
148,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
149,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
150,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
151,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
152,90,31,12469833.000000002,1.1985e-05,15.328514581604246,7.014628996916972,0.0,90,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
153,153,31,31297337.000002448,5.003e-05,4.874419678038851,13.352296145816833,43767170.0,153,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
154,153,31,31297337.000002448,5.003e-05,4.874419678038851,13.352296145816833,43767170.0,153,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
155,153,31,31297337.000002448,5.003e-05,4.874419678038851,13.352296145816833,43767170.0,153,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
156,153,31,31297337.000002448,5.003e-05,4.874419678038851,13.352296145816833,43767170.0,153,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
157,153,31,31297337.000002448,5.003e-05,4.874419678038851,13.352296145816833,43767170.0,153,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
158,153,31,31297337.000002448,5.003e-05,4.874419678038851,13.352296145816833,43767170.0,153,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
159,179,31,12469833.000000434,2.3245e-05,18.298484878061153,8.194652061301628,0.0,179,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
160,179,31,12469833.000000434,2.3245e-05,18.298484878061153,8.194652061301628,0.0,179,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
161,179,31,12469833.000000434,2.3245e-05,18.298484878061153,8.194652061301628,0.0,179,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
162,179,31,12469833.000000434,2.3245e-05,18.298484878061153,8.194652061301628,0.0,179,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
163,179,31,12469833.000000434,2.3245e-05,18.298484878061153,8.194652061301628,0.0,179,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
164,179,31,12469833.000000434,2.3245e-05,18.298484878061153,8.194652061301628,0.0,179,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
165,6,31,11158360.000008326,4.9985e-05,2.5471413058712997,11.447245827612225,23628193.0,6,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
166,6,31,11158360.000008326,4.9985e-05,2.5471413058712997,11.447245827612225,23628193.0,6,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
